year,state,acres
1986,AK,2312
1986,CO,354707.6
1986,MT,54565.2
1986,NE,69368
1986,NM,94456.9
1986,ND,36966.8
1986,TX,149199.3
1987,AK,16589.2
1987,CO,1286526.4
1987,MT,805208.6
1987,NE,673877.5
1987,NM,424003.1
1987,ND,599217.2
1987,TX,1932655.4
1988,AK,25070
1988,CO,1599842.6
1988,MT,1827178.8
1988,NE,981538.3
1988,NM,462069.3
1988,ND,1561840.4
1988,TX,2980067.3
1989,AK,25282.1
1989,CO,1751619
1989,MT,2341454
1989,NE,1162979.1
1989,NM,477171.7
1989,ND,2276031
1989,TX,3539099.6
1990,AK,25282.1
1990,CO,1908530
1990,MT,2682856.9
1990,NE,1304573.2
1990,NM,480522.5
1990,ND,2865770.3
1990,TX,3833630.6
1991,AK,26129.6
1991,CO,1910089.3
1991,MT,2730777.5
1991,NE,1314084.7
1991,NM,480551.9
1991,ND,2879117.5
1991,TX,3875323.4
1992,AK,26129.6
1992,CO,1924274.5
1992,MT,2775802.9
1992,NE,1350110.5
1992,NM,482432.7
1992,ND,2897888.7
1992,TX,3964402.8
1993,AK,26129.6
1993,CO,1933910.1
1993,MT,2814749.6
1993,NE,1379741.3
1993,NM,482938.4
1993,ND,2908428.9
1993,TX,4067992.5
1994,AK,26129.6
1994,CO,1933910.1
1994,MT,2814749.6
1994,NE,1379741.3
1994,NM,482938.4
1994,ND,2908428.9
1994,TX,4067992.5
1995,AK,24929.7
1995,CO,1933203
1995,MT,2815319.9
1995,NE,1377245.6
1995,NM,483405.7
1995,ND,2908588.7
1995,TX,4065465
1996,AK,24908.2
1996,CO,1917138.9
1996,MT,2786163.4
1996,NE,1370687.5
1996,NM,476519.8
1996,ND,2836527.6
1996,TX,4038565.3
1997,AK,24673.8
1997,CO,1890058.1
1997,MT,2735085.9
1997,NE,1245419.5
1997,NM,467209.3
1997,ND,2804872.2
1997,TX,3905207.9
1998,AK,25182.5
1998,CO,1798544
1998,MT,2796965.6
1998,NE,1043399
1998,NM,561829.1
1998,ND,3290558.3
1998,TX,3552336.9
1999,AK,24970.4
1999,CO,1942880.7
1999,MT,2955579.9
1999,NE,997943
1999,NM,584171.7
1999,ND,3059892.2
1999,TX,3658112.5
2000,AK,29983.9
2000,CO,2093465
2000,MT,3218899.4
2000,NE,1044767.6
2000,NM,591204.4
2000,ND,3164191
2000,TX,3896956.8
2001,AK,29471.1
2001,CO,2204833.7
2001,MT,3416851.9
2001,NE,1133336.2
2001,NM,589984
2001,ND,3320854.4
2001,TX,4043441.1
2002,AK,29476.1
2002,CO,2209394.8
2002,MT,3411535.8
2002,NE,1140851.4
2002,NM,593971.5
2002,ND,3326883.5
2002,TX,4043601.6
2003,AK,29511.1
2003,CO,2203548.8
2003,MT,3411222.4
2003,NE,1149596.6
2003,NM,593314.8
2003,ND,3336547.3
2003,TX,4034061.4
2004,AK,29522.2
2004,CO,2275856.7
2004,MT,3419064.4
2004,NE,1191397.6
2004,NM,596470.3
2004,ND,3366381.1
2004,TX,3981714.7
2005,AK,29803.8
2005,CO,2284796.5
2005,MT,3401564.1
2005,NE,1200459
2005,NM,596681.5
2005,ND,3341311.9
2005,TX,3956948
2006,AK,29748.2
2006,CO,2372838.4
2006,MT,3481533.5
2006,NE,1291597.7
2006,NM,597492.5
2006,ND,3371660.6
2006,TX,4044892.4
2007,AK,29745.7
2007,CO,2472094.2
2007,MT,3480851.1
2007,NE,1341249.7
2007,NM,590399
2007,ND,3388552.7
2007,TX,4074070.2
2008,AK,26463.1
2008,CO,2437937.1
2008,MT,3291198.4
2008,NE,1233616.4
2008,NM,570145.7
2008,ND,2976457.5
2008,TX,3938274.1
2009,AK,26463.1
2009,CO,2419613
2009,MT,3202350.1
2009,NE,1204116.3
2009,NM,566530.4
2009,ND,2852564.6
2009,TX,3846808.8
2010,AK,25799.6
2010,CO,2022102.3
2010,MT,3077149.1
2010,NE,1092753.46
2010,NM,541807.1
2010,ND,2719412.9
2010,TX,3305123
2011,AK,19013.4
2011,CO,2238974.3
2011,MT,2853575.9
2011,NE,1071414.86
2011,NM,454210.5
2011,ND,2648042.3
2011,TX,3455929.4
2012,AK,18982.5
2012,CO,2175942
2012,MT,2492461.4
2012,NE,993924.63
2012,NM,414320.5
2012,ND,2387323.7
2012,TX,3354171.3
2013,AK,17992.4
2013,CO,2067070.1
2013,MT,1989556.3
2013,NE,887447.63
2013,NM,416463.5
2013,ND,1780988.1
2013,TX,3252854
2014,AK,17977
2014,CO,1988096.2
2014,MT,1754964.16
2014,NE,843701.4
2014,NM,434734.9
2014,ND,1619317.1
2014,TX,3176613.2
2015,AK,17518.3
2015,CO,1912358.45
2015,MT,1499178.86
2015,NE,785185.69
2015,NM,430669.6
2015,ND,1523996.57
2015,TX,3040830.37
2016,AK,17423.5
2016,CO,1853457.21
2016,MT,1408702.08
2016,NE,781978.79
2016,NM,435521.26
2016,ND,1539084.93
2016,TX,2990159.26
2017,AK,17423.5
2017,CO,1779117.03
2017,MT,1364107.71
2017,NE,800377.92
2017,NM,446902.31
2017,ND,1528685.03
2017,TX,2896416.88
2018,AK,2704.3
2018,CO,1813765.63
2018,MT,1114902.83
2018,NE,915919.52
2018,NM,408802.02
2018,ND,1306271.64
2018,TX,2827974.85
2019,AK,2704.47
2019,CO,1838914.49
2019,MT,1059941.3
2019,NE,1064142.63
2019,NM,427190.62
2019,ND,1295115.32
2019,TX,2811584.47
